type,amount,nameOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
TRANSFER,357824.01,C45970482,C687230384,0.0,0.0,1
TRANSFER,225361.44,C1592823554,C1657758486,0.0,0.0,1
CASH_OUT,58050.78,C1057925060,C151767337,0.0,58050.78,1
CASH_OUT,199940.02,C1503324262,C1528513380,0.0,199940.02,1
TRANSFER,861406.83,C1138260378,C944216727,0.0,0.0,1
PAYMENT,3377.26,C1647563550,M1544974457,0.0,0.0,0
CASH_OUT,283042.18,C487504846,C612798374,30903.26,313945.44,0
CASH_OUT,346293.24,C829436029,C1738520779,750235.55,1096528.8,1
CASH_OUT,203099.95,C1738759445,C515793989,6285022.02,6488121.98,0
TRANSFER,136245.39,C98283050,C1232672480,0.0,0.0,1
TRANSFER,1911239.21,C543601110,C271369979,0.0,0.0,1
TRANSFER,1298609.73,C772620167,C1673264312,0.0,0.0,1
PAYMENT,17386.17,C1667173720,M473566528,0.0,0.0,0
TRANSFER,1191.97,C927353820,C246169047,40760.62,41952.59,0
TRANSFER,117683.42,C461302689,C96260697,0.0,0.0,1
TRANSFER,73110.82,C1808244239,C1237294806,0.0,0.0,1
TRANSFER,1709224.02,C1652182043,C1794027928,0.0,0.0,1
CASH_OUT,198043.93,C1582832873,C1178877830,17003.34,215047.27,1
PAYMENT,10322.59,C481341457,M643620404,0.0,0.0,0
DEBIT,491.56,C2129715639,C1891031939,2140964.11,2141455.67,0
CASH_OUT,566156.42,C1435381938,C499232658,175341.4,741497.82,1
CASH_OUT,3080973.39,C2110692683,C1822459038,201833.93,3282807.32,1
PAYMENT,6995.29,C894788881,M180679834,0.0,0.0,0
CASH_IN,132718.65,C716010470,C1900875813,969166.38,836447.73,0
CASH_IN,34904.77,C343732042,C469012411,0.0,0.0,0
TRANSFER,3070709.95,C739766096,C2100602462,0.0,0.0,1
CASH_OUT,5460002.91,C1588880909,C1570256460,0.0,9281535.44,1
TRANSFER,620512.76,C580395183,C399005937,0.0,0.0,1
CASH_OUT,296212.67,C1654886923,C1932157350,88494.23,384706.9,1
CASH_OUT,196254.03,C2032582234,C677415412,0.0,196254.03,1
CASH_IN,127974.43,C1890823608,C1749590097,6984413.1,6856438.68,0
CASH_OUT,235778.42,C1363629938,C1459827011,3094115.34,3329893.76,0
PAYMENT,7474.17,C298166119,M1799276777,0.0,0.0,0
CASH_OUT,38337.18,C691305834,C316460857,175969.0,214306.18,0
CASH_IN,173350.6,C1975346930,C440958990,346423.8,173073.2,0
PAYMENT,5394.16,C1475661476,M617428828,0.0,0.0,0
CASH_OUT,309668.51,C970650275,C464946176,7702777.29,10999745.43,0
CASH_IN,117178.44,C1251029811,C1447351797,2360792.72,2243614.27,0
CASH_OUT,171644.14,C1895875412,C1517607159,1004907.85,1140340.77,0
CASH_OUT,115066.33,C1873817972,C1178961725,266949.05,382015.38,0
PAYMENT,2567.25,C1970431000,M719483049,0.0,0.0,0
CASH_OUT,507521.42,C1541771460,C1704088171,0.0,507521.42,1
CASH_OUT,325147.44,C437845701,C1461332855,4147621.29,4472768.73,0
CASH_OUT,134293.12,C146779092,C2005939725,5256422.7,5390715.81,1
CASH_OUT,30920.74,C486922424,C27532570,208557.54,0.0,0
CASH_OUT,127120.88,C130072062,C681167784,2605727.43,2732848.31,1
CASH_OUT,62288.85,C1181842363,C1715711943,1451461.92,1513750.77,0
CASH_IN,80984.41,C42789705,C195673965,20304767.14,20223782.73,0
PAYMENT,19191.76,C1599550099,M1649216868,0.0,0.0,0
CASH_OUT,104957.85,C1731531059,C621663353,29237.79,134195.64,1
CASH_IN,260074.57,C1623747056,C1818912491,0.0,0.0,0
CASH_OUT,274213.28,C736018350,C1476113912,368174.55,642387.83,0
CASH_OUT,205309.0,C1205779738,C376077872,605405.15,766553.57,0
TRANSFER,509985.31,C973074458,C1408872887,0.0,0.0,1
PAYMENT,11607.49,C786004595,M1210328651,0.0,0.0,0
CASH_OUT,49210.21,C1587381716,C228027702,0.0,49210.21,1
TRANSFER,270220.02,C116594353,C1740026185,2308076.59,2578296.61,0
TRANSFER,306691.05,C1064966733,C467221336,0.0,0.0,1
TRANSFER,1980800.05,C1249942022,C1969956684,0.0,0.0,1
TRANSFER,1185157.78,C262672510,C478572372,0.0,0.0,1
TRANSFER,288148.22,C842156378,C1029607217,0.0,0.0,1
CASH_OUT,66096.77,C607371371,C35748171,0.0,66096.77,0
CASH_OUT,222735.34,C1332040146,C1197434553,0.0,222735.34,1
TRANSFER,1051018.15,C1597001558,C1628780736,0.0,0.0,1
CASH_OUT,624228.15,C307041251,C1280912398,3471040.08,4095268.23,0
CASH_OUT,267503.03,C774665087,C694107013,317293.18,584796.21,0
CASH_OUT,63496.13,C816486420,C733417481,376807.29,440303.42,0
TRANSFER,10000000.0,C1799904347,C1817199105,0.0,0.0,1
CASH_OUT,315273.23,C446198299,C1754503491,613687.67,928960.9,0
TRANSFER,1464614.79,C915102234,C475837987,0.0,0.0,1
PAYMENT,32811.96,C1682707375,M1295898995,0.0,0.0,0
TRANSFER,334790.89,C2135188443,C1068035657,0.0,0.0,1
CASH_OUT,196580.64,C1836011570,C356032220,249566.59,446147.22,0
TRANSFER,190737.49,C1964503568,C1405052929,0.0,0.0,1
CASH_OUT,222893.89,C202725271,C2034281467,3894272.89,4117166.78,0
CASH_OUT,234730.0,C1665258350,C854696794,5287255.54,5521985.54,0
CASH_OUT,109028.8,C1835596211,C1502942700,674110.57,783139.37,1
TRANSFER,815384.83,C1145249863,C1054116323,0.0,0.0,1
CASH_IN,101718.42,C1990843255,C558224730,2187820.59,2086102.17,0
TRANSFER,434496.86,C1433196550,C1108269757,461350.17,895847.02,0
CASH_OUT,445811.08,C2138280432,C749792186,1023786.58,1469597.66,0
PAYMENT,2351.76,C769956476,M1643677096,0.0,0.0,0
CASH_IN,278697.28,C24984697,C1404118130,7176078.63,6897381.35,0
CASH_OUT,4152435.91,C869608189,C1391783413,0.0,4152435.91,1
CASH_OUT,438865.38,C18688955,C632177474,558975.74,997841.12,0
TRANSFER,82527.13,C538871976,C1208558259,0.0,0.0,1
CASH_OUT,131540.47,C1317999245,C1028394438,159389.97,290930.44,0
TRANSFER,9467.62,C384072543,C588343679,0.0,0.0,1
CASH_OUT,320977.49,C987967282,C94618150,0.0,320977.49,1
CASH_OUT,272645.78,C468089031,C138895163,0.0,272645.78,0
TRANSFER,6249265.86,C855788158,C1260877050,0.0,0.0,1
TRANSFER,2938533.78,C166805325,C843661700,6389177.43,9327711.21,0
CASH_OUT,130278.99,C2081998466,C1015309209,690756.3,821035.3,1
TRANSFER,10000000.0,C179802055,C845099418,0.0,0.0,1
CASH_OUT,21738.98,C1895636765,C386641787,0.0,21738.98,1
PAYMENT,38168.6,C556680492,M98996267,0.0,0.0,0
PAYMENT,19693.07,C722347094,M759027,0.0,0.0,0
CASH_OUT,68536.24,C449838957,C1165543736,410774.24,479310.48,1
CASH_OUT,55336.98,C387261658,C2073543892,3466866.34,3522203.32,0
CASH_IN,399827.84,C225003040,C2089774048,1263811.69,863983.85,0
CASH_OUT,82869.09,C1143635966,C275663782,104258.05,187127.14,1
CASH_OUT,2209035.37,C1720700967,C126465799,124117.1,2333152.48,1
PAYMENT,28813.67,C876702515,M587764780,0.0,0.0,0
CASH_IN,36923.19,C1813452737,C780138286,97748.75,60825.56,0
CASH_OUT,39941.3,C375664545,C165766906,4320750.55,6081186.56,0
CASH_OUT,39775.07,C159536677,C617926747,17472.43,57247.5,0
TRANSFER,72547.29,C759761137,C1046167270,0.0,0.0,1
CASH_OUT,171623.1,C859067773,C936547996,76632.01,248255.12,1
PAYMENT,6239.11,C469716343,M518957223,0.0,0.0,0
TRANSFER,127905.82,C697159622,C2008752241,0.0,0.0,1
CASH_IN,135948.38,C1573289747,C661105855,978880.12,842931.74,0
TRANSFER,201511.93,C1046364344,C1582493595,0.0,0.0,1
CASH_OUT,23792.02,C1518552335,C1381433415,24448.46,48240.48,0
CASH_OUT,3444943.59,C127639062,C1426710143,217174.65,3662118.24,1
PAYMENT,13553.52,C346271264,M576168046,0.0,0.0,0
CASH_OUT,8332002.94,C17870584,C705444596,208741.01,8540743.95,1
CASH_OUT,620791.47,C47005930,C2048724307,1409463.69,2030255.17,1
CASH_OUT,1778520.7,C72958099,C1226050355,0.0,1778520.7,1
TRANSFER,1138060.54,C2135733016,C1799220112,1200033.01,2338093.55,0
CASH_OUT,854065.31,C1383859392,C431850862,80062.21,934127.52,1
TRANSFER,1467987.57,C2035870900,C1336055115,0.0,0.0,1
TRANSFER,3488355.65,C1713336918,C1279746199,0.0,0.0,1
TRANSFER,193545.61,C1430180670,C273255421,0.0,0.0,1
PAYMENT,11984.28,C427224583,M1142802503,0.0,0.0,0
TRANSFER,940957.88,C1563386305,C2099892089,0.0,0.0,1
CASH_IN,487623.23,C631168803,C1122290959,2247538.57,1759915.34,0
TRANSFER,12278.0,C1274609372,C1409623409,0.0,0.0,1
CASH_IN,30022.42,C1397695250,C650084725,885866.18,855843.76,0
CASH_OUT,286023.49,C1357575281,C423093419,4713510.29,4999533.78,0
TRANSFER,306419.73,C208491415,C2131363055,0.0,0.0,1
CASH_OUT,249074.67,C1057806639,C1234932596,75005.16,324079.83,0
CASH_OUT,77489.89,C1032728582,C267511985,263252.75,340742.64,0
CASH_OUT,226002.74,C834768051,C1489897887,31554.56,257557.3,0
CASH_OUT,176192.21,C474289202,C1401932023,824066.94,1000259.15,0
TRANSFER,10000000.0,C1110953726,C531811781,0.0,0.0,1
CASH_IN,152730.09,C1045928350,C1114347902,3779382.69,3626652.6,0
TRANSFER,337287.72,C1022326247,C426683536,0.0,0.0,1
PAYMENT,746.32,C157203057,M1857992019,0.0,0.0,0
CASH_OUT,902483.91,C1202457928,C2142717530,2271023.91,3173507.82,1
TRANSFER,194180.11,C953989507,C2123949636,0.0,0.0,1
CASH_OUT,408686.64,C1815121459,C2112835597,2636163.9,2768893.56,0
CASH_OUT,613386.47,C86115030,C387748036,11220969.14,11834355.61,1
CASH_IN,220116.06,C147414246,C1075843004,488835.03,268718.97,0
CASH_OUT,178569.48,C395825139,C1241208981,263128.53,441698.01,1
CASH_OUT,328427.77,C1592579801,C1306965361,49762.33,378190.1,1
TRANSFER,813992.49,C460547143,C830306578,0.0,0.0,1
CASH_OUT,161939.36,C1993475473,C1832323051,628935.02,851972.34,1
PAYMENT,5960.4,C170995604,M1540135438,0.0,0.0,0
TRANSFER,2504121.85,C1272055950,C925958307,708742.73,3212864.58,0
CASH_OUT,6188772.44,C1440649048,C1477641326,6056796.74,12442836.61,1
CASH_IN,276113.61,C1204896787,C505768235,6850938.2,6574824.59,0
TRANSFER,92145.4,C1372492756,C1868659811,0.0,0.0,1
CASH_IN,53088.98,C375415541,C1031811884,327919.01,137121.9,0
CASH_OUT,102195.99,C792954615,C679506522,1915434.34,2017630.33,0
TRANSFER,1769189.29,C325253664,C2003496532,846386.92,2615576.21,0
TRANSFER,19776.71,C1567288795,C1978402788,0.0,0.0,1
CASH_IN,350058.88,C1157745856,C883452173,532488.94,182430.06,0
CASH_OUT,850530.59,C657363011,C936698630,177074.44,1027605.03,1
CASH_OUT,282018.0,C1419296243,C1696524301,2255136.89,2537154.89,1
CASH_OUT,79050.5,C1334534237,C1146354086,318369.36,1006049.16,0
TRANSFER,644781.76,C1053760019,C902583523,0.0,0.0,1
CASH_OUT,1489970.0,C176928407,C967218202,6487649.3,7977619.3,1
TRANSFER,566142.89,C1357772203,C585432949,0.0,0.0,1
CASH_OUT,8488865.83,C1770565614,C863370612,0.0,8488865.83,1
CASH_OUT,668595.91,C835134180,C57292104,72554.54,741150.46,1
CASH_IN,315678.82,C1335676160,C967209838,346341.73,30662.9,0
TRANSFER,1559562.69,C776316462,C657858482,2663716.76,4223279.45,0
CASH_IN,254841.16,C1297025866,C1998419981,301791.17,46950.01,0
TRANSFER,10000000.0,C1709472240,C225746427,0.0,0.0,1
CASH_IN,205270.63,C1067632275,C926433597,3200525.04,2995254.42,0
CASH_OUT,138993.63,C1585006408,C348431786,0.0,138993.63,1
TRANSFER,2173367.35,C927887851,C1921605128,0.0,0.0,1
CASH_IN,95513.42,C1103598388,C1027529530,1053815.66,958302.24,0
CASH_IN,281487.24,C707742284,C34704443,395621.91,114134.67,0
CASH_OUT,211258.51,C272137943,C1035275690,861062.81,1072321.32,0
CASH_OUT,163611.13,C481851741,C1254421968,249208.21,412819.33,0
CASH_OUT,115876.55,C1198570174,C877179777,1540354.05,1656230.61,0
CASH_IN,583801.77,C274135603,C1147919243,655736.99,245927.37,0
CASH_OUT,2479767.72,C87347257,C2045743358,910534.24,3390301.96,1
TRANSFER,2384452.22,C1758566400,C1126609629,7072407.38,9456859.61,0
TRANSFER,368951.94,C1613048807,C1093117113,0.0,0.0,1
CASH_OUT,0.0,C1294472700,C1325541393,7970766.57,7970766.57,1
PAYMENT,4889.16,C868879607,M492376076,0.0,0.0,0
TRANSFER,158279.45,C459505370,C1634715268,855564.06,1013843.5,0
PAYMENT,9860.19,C1852405331,M340198686,0.0,0.0,0
CASH_OUT,476890.47,C953022806,C357527679,496043.55,972934.02,1
TRANSFER,2011285.35,C11988213,C952860691,0.0,0.0,1
PAYMENT,5687.38,C48239761,M1734824762,0.0,0.0,0
TRANSFER,610912.97,C610554977,C151400576,41294.0,1276550.33,0
TRANSFER,289545.58,C64695413,C315954774,747210.93,1036756.51,0
CASH_OUT,45719.94,C24050132,C1850099775,137340.1,183060.04,0
CASH_OUT,160687.08,C878937613,C640783624,3041567.61,3202254.69,0
CASH_OUT,1306690.61,C112330244,C1382644592,108351.28,1415041.89,1
CASH_OUT,299221.26,C591754236,C1474511841,1074805.04,1374026.3,0
PAYMENT,3482.1,C19728537,M1802714249,0.0,0.0,0
TRANSFER,7469051.14,C88290164,C161940442,0.0,0.0,1
CASH_OUT,108256.54,C1930972016,C1679489377,4742888.0,4851144.55,0
TRANSFER,440628.31,C780217533,C1083957665,1276726.14,1717354.45,0
TRANSFER,1185063.34,C2041646742,C1517225238,4755165.28,5940228.62,0
CASH_OUT,102464.68,C287402036,C95792829,117288.38,219753.06,1
CASH_OUT,711932.67,C224350249,C1555994470,20563.09,732495.77,1
CASH_IN,288932.5,C1451244954,C699737762,481788.49,192855.99,0
PAYMENT,28844.58,C669308480,M761370669,0.0,0.0,0
CASH_OUT,220270.21,C640024498,C390092725,311438.24,531708.45,0
CASH_OUT,2472250.47,C1806442473,C576597272,4136.88,2476387.35,1
CASH_OUT,2741.52,C1226042686,C1297844216,62320.64,65062.16,0
PAYMENT,10468.18,C557164741,M1074609913,0.0,0.0,0
TRANSFER,298549.28,C1310470422,C147376659,3643644.37,3942193.65,0
CASH_OUT,1697093.54,C657858673,C1591408637,248234.32,1945327.86,1
PAYMENT,4895.13,C2136984696,M964713216,0.0,0.0,0
PAYMENT,1706.85,C1580309595,M1665133330,0.0,0.0,0
CASH_IN,61642.24,C1713146508,C1690589535,595475.36,604601.22,0
TRANSFER,8537861.24,C601921404,C1092111599,0.0,0.0,1
CASH_OUT,324772.63,C2119542576,C1119659862,347764.03,672536.67,0
TRANSFER,338293.14,C958803448,C229298168,0.0,0.0,1
PAYMENT,2330.1,C1566439786,M1212263128,0.0,0.0,0
CASH_OUT,544468.72,C1499420183,C36795647,912812.28,1457281.0,0
PAYMENT,12480.2,C1628065462,M1252593472,0.0,0.0,0
CASH_OUT,172838.23,C1866203716,C2523193,325465.65,498303.88,0
TRANSFER,765973.93,C505396983,C213204013,367716.73,1102803.56,0
CASH_OUT,296333.54,C1938399138,C257884050,3355664.68,3651998.22,1
TRANSFER,297846.16,C776297547,C1422239092,0.0,0.0,1
CASH_OUT,319072.49,C1300529018,C1733389097,409635.57,728708.06,0
PAYMENT,24273.04,C1241175512,M756495409,0.0,0.0,0
CASH_IN,67171.4,C398107226,C774212941,7536330.64,7469159.24,0
